Category: All categories

Month,"PepsiCo, Inc.: (United States)",The Coca-Cola Company: (United States)
2012-02,28,30
2012-03,29,28
2012-04,30,32
2012-05,29,33
2012-06,27,28
2012-07,24,29
2012-08,25,28
2012-09,23,28
2012-10,23,28
2012-11,23,28
2012-12,22,25
2013-01,23,25
2013-02,26,27
2013-03,31,26
2013-04,29,26
2013-05,25,27
2013-06,23,25
2013-07,27,27
2013-08,25,26
2013-09,21,27
2013-10,21,28
2013-11,20,27
2013-12,18,25
2014-01,22,26
2014-02,25,40
2014-03,25,25
2014-04,22,28
2014-05,21,28
2014-06,22,28
2014-07,23,38
2014-08,21,32
2014-09,21,31
2014-10,20,30
2014-11,19,25
2014-12,17,27
2015-01,20,26
2015-02,21,27
2015-03,21,27
2015-04,24,27
2015-05,22,28
2015-06,23,27
2015-07,23,28
2015-08,24,26
2015-09,22,27
2015-10,33,29
2015-11,22,26
2015-12,24,28
2016-01,22,24
2016-02,23,27
2016-03,20,26
2016-04,27,26
2016-05,23,25
2016-06,25,25
2016-07,22,24
2016-08,35,24
2016-09,23,25
2016-10,20,25
2016-11,12,7
2016-12,7,5
2017-01,7,5
2017-02,9,5
2017-03,8,4
2017-04,11,4
2017-05,8,4
2017-06,7,3
2017-07,7,3
2017-08,7,3
2017-09,6,4
2017-10,6,5
2017-11,6,5
2017-12,6,4
2018-01,6,4
2018-02,8,5
2018-03,5,24
2018-04,7,27
2018-05,6,33
2018-06,5,28
2018-07,20,27
2018-08,27,27
2018-09,23,26
2018-10,22,25
2018-11,21,37
2018-12,20,46
2019-01,27,45
2019-02,30,50
2019-03,25,55
2019-04,24,55
2019-05,26,66
2019-06,23,70
2019-07,26,63
2019-08,22,52
2019-09,20,47
2019-10,20,47
2019-11,18,46
2019-12,19,54
2020-01,21,53
2020-02,24,59
2020-03,20,49
2020-04,19,40
2020-05,17,41
2020-06,21,46
2020-07,21,52
2020-08,20,45
2020-09,19,43
2020-10,18,47
2020-11,16,41
2020-12,16,44
2021-01,16,43
2021-02,22,100
2021-03,26,64
2021-04,23,63
2021-05,22,49
2021-06,21,31
2021-07,21,23
2021-08,19,21
2021-09,19,20
2021-10,17,20
2021-11,17,19
2021-12,16,30
2022-01,20,20
2022-02,22,25
