Category: All categories

Month,Pepsi: (United States),Coca-Cola: (United States)
2012-01,25,29
2012-02,37,29
2012-03,29,27
2012-04,30,31
2012-05,30,30
2012-06,28,27
2012-07,25,27
2012-08,24,27
2012-09,23,27
2012-10,24,28
2012-11,24,25
2012-12,23,25
2013-01,25,25
2013-02,28,27
2013-03,34,26
2013-04,32,27
2013-05,29,27
2013-06,25,24
2013-07,27,24
2013-08,26,26
2013-09,21,27
2013-10,22,28
2013-11,20,26
2013-12,17,25
2014-01,24,26
2014-02,25,40
2014-03,26,25
2014-04,22,27
2014-05,22,28
2014-06,22,28
2014-07,25,37
2014-08,21,31
2014-09,20,30
2014-10,21,30
2014-11,19,24
2014-12,18,26
2015-01,21,25
2015-02,23,26
2015-03,22,26
2015-04,25,27
2015-05,23,28
2015-06,23,27
2015-07,23,29
2015-08,24,25
2015-09,21,27
2015-10,34,28
2015-11,22,24
2015-12,24,28
2016-01,24,23
2016-02,25,26
2016-03,22,24
2016-04,26,26
2016-05,23,25
2016-06,23,24
2016-07,22,24
2016-08,32,23
2016-09,22,24
2016-10,20,25
2016-11,18,2
2016-12,16,<1
2017-01,17,0
2017-02,20,0
2017-03,17,0
2017-04,100,0
2017-05,23,0
2017-06,23,0
2017-07,22,0
2017-08,20,0
2017-09,29,0
2017-10,23,0
2017-11,17,0
2017-12,16,0
2018-01,21,0
2018-02,26,0
2018-03,23,1
2018-04,23,1
2018-05,24,1
2018-06,24,<1
2018-07,29,0
2018-08,26,0
2018-09,22,0
2018-10,20,0
2018-11,18,0
2018-12,17,0
2019-01,24,0
2019-02,29,0
2019-03,23,0
2019-04,23,<1
2019-05,23,2
2019-06,23,<1
2019-07,22,0
2019-08,18,1
2019-09,18,3
2019-10,18,3
2019-11,18,3
2019-12,17,3
2020-01,20,4
2020-02,23,4
2020-03,17,4
2020-04,15,4
2020-05,15,4
2020-06,19,5
2020-07,17,5
2020-08,17,5
2020-09,15,4
2020-10,15,5
2020-11,14,5
2020-12,14,5
2021-01,17,10
2021-02,21,69
2021-03,24,38
2021-04,21,29
2021-05,19,21
2021-06,18,12
2021-07,18,12
2021-08,17,20
2021-09,17,26
2021-10,16,24
2021-11,14,27
2021-12,15,33
2022-01,17,29
2022-02,20,36
2022-03,24,42
2022-04,23,34
2022-05,18,36
2022-06,19,31
2022-07,20,28
2022-08,18,35
2022-09,19,31
2022-10,21,28
2022-11,29,30
2022-12,25,31
2023-01,24,32
